;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;Larissa Vitória Silva;000.000.011-21;VOLKSWAGEN;CPF;Maggie Simpson;R1;SEM SPF;R$ 229.850,00;R$ 58.100,00;R$ 171.750,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;;;;;;;;;;;;;;;;R3;TABELA_R3;;3,60%;;;;;;;;;
;12;Marcelo Augusto Lima;000.000.012-22;SANTANDER;CNPJ;Homer Simpson;R0;SEM SPF;R$ 143.050,00;R$ 55.950,00;R$ 87.100,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;;;;;;;;;;;;;;;;R4;TABELA_R4;;4,80%;;;;;;;;;
;13;Mariana Alves Pereira;000.000.013-23;SANTANDER;CPF;Bart Simpson;R5;SEM SPF;R$ 130.400,00;R$ 64.100,00;R$ 66.300,00;R$ 0,00;R$ 1.432,75;R$ 1.432,75;TAXA SUB;;;;;;;;;;;;;;;;;R5;TABELA_R5;;6,00%;;;;;;;;;
;14;Nicolas Gabriel Freitas;000.000.014-24;SANTANDER;CPF;Lisa Simpson;R0;SEM SPF;R$ 98.550,00;R$ 26.750,00;R$ 71.800,00;R$ 0,00;R$ 0,00;R$ 0,00;MOVE BRASIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;Patrícia Gomes da Silva;000.000.015-25;VOLKSWAGEN;CNPJ;Maggie Simpson;R2;SEM SPF;R$ 185.850,00;R$ 88.100,00;R$ 97.750,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;TERRACOTA-FSA;;;;;;;;;;;;;;;MOTIVO;;;;;;;;;;;;
;16;Rafael Andrade Melo;000.000.016-26;SANTANDER;CPF;Lisa Simpson;R2;COM SPF;R$ 231.200,00;R$ 119.800,00;R$ 111.400,00;R$ 2.674,00;R$ 2.266,92;R$ 4.940,92;MOVE BRASIL;;R;Qtde; %;;BANCOS;QTDE; %;;;;;;;;;TAXA ZERO;;;;;;;;;;;;
;17;Renata Carvalho Santos;000.000.017-27;VOLKSWAGEN;CPF;Bart Simpson;R0;COM SPF;R$ 142.300,00;R$ 70.500,00;R$ 71.800,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;R0;4;22%;;BRADESCO;0;0%;;;;;;;;; TAXA SUB ;;;;;;;;;;;;
;18;Thiago Moreira Lopes;000.000.018-28;SANTANDER;CPF;Homer Simpson;R0;SEM SPF;R$ 162.650,00;R$ 71.650,00;R$ 91.000,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;R1;3;17%;;GM;0;0%;;;;;;;;; MOVE BRASIL ;;;;;;;;;;;;
;19;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R2;1;6%;;ITÁU;0;0%;;;;;;;;;;;;;;;;;;;;;
;20;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R3;4;22%;;SANTANDER;15;83%;;;;;;;;;PJ/PF;;;;;;;;;;;;
;21;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R4;0;0%;;SAFRA;0;0%;;;;;;;;;CNPJ;;;;;;;;;;;;
;22;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R5;3;17%;;STELLANTIS;0;0%;;;;;;;;;CPF;;;;;;;;;;;;
;23;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R50;1;6%;;VOLKSWAGEN;3;17%;;;;;;;;;;;;;;;;;;;;;
;24;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R75;1;6%;;C6;0;0%;;;;;;;;;;;;;;;;;;;;;
;25;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R100;1;6%;;;;;;;;;;;;;;;;;;;;;;;;;
;26;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R150;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;
;27;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;TOTAL;18;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;COM SPF;8;44%;;; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;;;;
;30;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;SEM SPF;10;56%;;;;;;;;;;;;;;;;;;;;;;;;;
;31;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;32;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;33;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;34;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;35;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;36;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;37;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;39;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;43;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;44;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;46;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;47;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;48;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;49;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;ATENÇÃO:;SE PRECISAR INSERIR MAIS LINHAS ADICIONE LINHAS DENTRO DESTE RETÂNGULO;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL;;;;;;;R$ 2.907.391,00;R$ 1.648.970,00;R$ 1.258.421,00;R$ 12.493,66;R$ 0,00; R$ 39.648,31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;  TAXA SUB ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Inclui o SPF no valor de Nota (Ex 159 emite a 161) - Explica ao cliente (Para ofertar taxa 0, preciso manter o SPF)- Sob ficha no FANDI no valor correto incluindo o SPF ;;;;;;;;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRACOTA VITÓRIA DA CONQUISTA - VTC - AGOSTO;;;;;;;;;;;;;;;;VENDEDOR;R0;R1;R2;R3;R4;R5;R150;R100;R75;R50;SPF;RECEITA;;;;;;;;;;;;;;;
;;CLIENTE;CPF/CNPJ;BANCO;PJ/PF;VENDEDOR;R;SPF;VAL. VEÍCULO;ENTRADA;FINANCIAMENTO;RET. SPF; RET. RENTABILIDADE;RENTAB. TOTAL;MOTIVO;;Severino de Aracaju;0;0;0;0;0;0;0;0;0;0;0;R$ 5.009,88;0;;;;;;;;;;;;;;
;1;Amanda Ribeiro Castro;000.000.019-29;SANTANDER;CPF;Severino de Aracaju;R3;SEM SPF;R$ 186.300,00;R$ 45.350,00;R$ 140.950,00;R$ 0,00;R$ 2.885,51;R$ 2.885,51;TAXA SUB;;João Grilo;0;0;0;0;0;0;0;0;0;0;0;R$ 3.211,92;0;;;;;;;;;;;;;;
;2;Caio Henrique Barbosa;000.000.020-30;VOLKSWAGEN;CNPJ;Severino de Aracaju;R3;SEM SPF;R$ 196.150,00;R$ 66.300,00;R$ 129.850,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;Chicó;0;0;0;0;0;0;0;0;0;0;0;R$ 4.138,56;0;;;;;;;;;;;;;;
;3;Daniela Martins Souza;000.000.021-31;SANTANDER;CNPJ;João Grilo;R2;SEM SPF;R$ 155.950,00;R$ 35.900,00;R$ 120.050,00;R$ 0,00;R$ 2.260,88;R$ 2.260,88;TAXA ZERO;;Rosinha;0;0;0;0;0;0;0;0;0;0;0;R$ 5.226,60;0;;;;;;;;;;;;;;
;4;Felipe Augusto Costa;000.000.022-32;SANTANDER;CPF;Chicó;R75;COM SPF;R$ 193.850,00;R$ 53.750,00;R$ 140.100,00;R$ 3.362,00;R$ 1.134,81;R$ 4.496,81;TAXA SUB;;Padre João;0;0;0;0;0;0;0;0;0;0;0;R$ 4.640,76;0;;;;;;;;;;;;;;
;5;Gabriela Mendes Rocha;000.000.023-33;SANTANDER;CNPJ;Chicó;R5;SEM SPF;R$ 230.000,00;R$ 90.350,00;R$ 139.650,00;R$ 0,00;R$ 3.057,93;R$ 3.057,93;MOVE BRASIL;;TOTAL;0;0;0;0;0;0;0;0;0;0;0;R$ 22.227,72;0;;;;;;;;;;;;;;
;6;Henrique Lima Duarte;000.000.024-34;SANTANDER;CPF;Rosinha;R50;SEM SPF;R$ 236.850,00;R$ 66.350,00;R$ 170.500,00;R$ 0,00;R$ 920,70;R$ 920,70;TAXA SUB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Juliana Alves Nascimento;000.000.025-35;SANTANDER;CPF;Padre João;R0;SEM SPF;R$ 204.900,00;R$ 78.700,00;R$ 126.200,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;Lucas Gabriel Moura;000.000.026-36;SANTANDER;CNPJ;João Grilo;R75;SEM SPF;R$ 141.200,00;R$ 58.100,00;R$ 83.100,00;R$ 0,00;R$ 673,11;R$ 673,11;MOVE BRASIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;Manuela Ferreira Reis;000.000.027-37;SANTANDER;CPF;Severino de Aracaju;R2;COM SPF;R$ 99.250,00;R$ 28.900,00;R$ 70.350,00;R$ 1.688,00;R$ 1.602,19;R$ 3.290,19;MOVE BRASIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Pedro Lucas Santana;000.000.028-38;VOLKSWAGEN;CPF;João Grilo;R3;SEM SPF;R$ 214.900,00;R$ 56.200,00;R$ 158.700,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;TERRACOTA-VTC;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;Priscila Araujo Lima;000.000.029-39;SANTANDER;CNPJ;Rosinha;R3;SEM SPF;R$ 238.250,00;R$ 107.850,00;R$ 130.400,00;R$ 0,00;R$ 3.041,44;R$ 3.041,44;TAXA ZERO;;R;Qtde; %;;BANCOS;QTDE; %;;;;;;;;;;;;;;;;;;;;;
;12;Vinícius Cardoso Mendes;000.000.030-40;VOLKSWAGEN;CPF;Padre João;R50;SEM SPF;R$ 102.050,00;R$ 23.300,00;R$ 78.750,00;R$ 0,00;R$ 425,25;R$ 425,25;MOVE BRASIL;;R0;4;33%;;BRADESCO;0;0%;;;;;;;;;;;;;;;;;;;;;
;13;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R1;1;8%;;GM;0;0%;;;;;;;;;;;;;;;;;;;;;
;14;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R2;1;8%;;ITAÚ;0;0%;;;;;;;;;;;;;;;;;;;;;
;15;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R3;4;33%;;SANTANDER;11;92%;;;;;;;;;;;;;;;;;;;;;
;16;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R4;0;0%;;SAFRA;0;0%;;;;;;;;;;;;;;;;;;;;;
;17;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R5;1;8%;;STELLANTIS;0;0%;;;;;;;;;;;;;;;;;;;;;
;18;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R50;0;0%;;VOLKSWAGEN;1;8%;;;;;;;;;;;;;;;;;;;;;
;19;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R75;0;0%;;C6;0;0%;;;;;;;;;;;;;;;;;;;;;
;20;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R100;1;8%;;;;;;;;;;;;;;;;;;;;;;;;;
;21;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R150;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;
;22;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;TOTAL;12;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;COM SPF;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;
;25;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;SEM SPF;12;100%;;;;;;;;;;;;;;;;;;;;;;;;;
;26;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;ATENÇÃO:;SE PRECISAR INSERIR MAIS LINHAS ADICIONE LINHAS DENTRO DESTE RETÂNGULO;;;;;;;;;;;;;;;;;;;;;;;;
;29;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL;;;;;;; R$ 2.139.084,00 ; R$ 1.210.070,00 ; R$ 929.014,00 ;R$ 0,00;R$ 20.155,08; R$ 22.227,72 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;TAXA ZERO;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; TAXA SUB ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
