Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19;Unnamed: 20;Unnamed: 21;Unnamed: 22;Unnamed: 23;Unnamed: 24;Unnamed: 25;Unnamed: 26;Unnamed: 27;Unnamed: 28;Unnamed: 29;Unnamed: 30;Unnamed: 31;Unnamed: 32;Unnamed: 33;Unnamed: 34;Unnamed: 35;Unnamed: 36;Unnamed: 37;Unnamed: 38;Unnamed: 39;Unnamed: 40;Unnamed: 41;Unnamed: 42;Unnamed: 43;Unnamed: 44
;12;Marcelo Augusto Lima;000.000.012-22;VOLKSWAGEN;CNPJ;Marge Simpson;R1;SEM SPF;R$ 193.850,00;R$ 82.600,00;R$ 111.250,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;;;;;;;;;;;;;;;;R4;TABELA_R4;;4,80%;;;;;;;;;
;13;Mariana Alves Pereira;000.000.013-23;VOLKSWAGEN;CPF;Lisa Simpson;R4;COM SPF;R$ 224.300,00;R$ 56.450,00;R$ 167.850,00;R$ 0,00;R$ 0,00;R$ 0,00;MOVE BRASIL;;;;;;;;;;;;;;;;;R5;TABELA_R5;;6,00%;;;;;;;;;
;14;Nicolas Gabriel Freitas;000.000.014-24;SANTANDER;CPF;Maggie Simpson;R2;SEM SPF;R$ 218.650,00;R$ 82.150,00;R$ 136.500,00;R$ 0,00;R$ 2.635,75;R$ 2.635,75;TAXA SUB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;Patrícia Gomes da Silva;000.000.015-25;VOLKSWAGEN;CNPJ;Homer Simpson;R1;SEM SPF;R$ 218.050,00;R$ 70.300,00;R$ 147.750,00;R$ 0,00;R$ 0,00;R$ 0,00;MOVE BRASIL;;TERRACOTA-FSA;;;;;;;;;;;;;;;MOTIVO;;;;;;;;;;;;
;16;Rafael Andrade Melo;000.000.016-26;SANTANDER;CPF;Marge Simpson;R4;SEM SPF;R$ 211.900,00;R$ 59.700,00;R$ 152.200,00;R$ 0,00;R$ 2.402,47;R$ 2.402,47;TAXA SUB;;R;Qtde; %;;BANCOS;QTDE; %;;;;;;;;;TAXA ZERO;;;;;;;;;;;;
;17;Renata Carvalho Santos;000.000.017-27;VOLKSWAGEN;CPF;Bart Simpson;R0;SEM SPF;R$ 163.450,00;R$ 73.100,00;R$ 90.350,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;R0;4;22%;;BRADESCO;0;0%;;;;;;;;; TAXA SUB ;;;;;;;;;;;;
;18;Thiago Moreira Lopes;000.000.018-28;SANTANDER;CPF;Lisa Simpson;R3;SEM SPF;R$ 144.600,00;R$ 42.450,00;R$ 102.150,00;R$ 0,00;R$ 1.948,58;R$ 1.948,58;MOVE BRASIL;;R1;3;17%;;GM;0;0%;;;;;;;;; MOVE BRASIL ;;;;;;;;;;;;
;19;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R2;1;6%;;ITÁU;0;0%;;;;;;;;;;;;;;;;;;;;;
;20;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R3;4;22%;;SANTANDER;15;83%;;;;;;;;;PJ/PF;;;;;;;;;;;;
;21;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R4;0;0%;;SAFRA;0;0%;;;;;;;;;CNPJ;;;;;;;;;;;;
;22;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R5;3;17%;;STELLANTIS;0;0%;;;;;;;;;CPF;;;;;;;;;;;;
;23;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R50;1;6%;;VOLKSWAGEN;3;17%;;;;;;;;;;;;;;;;;;;;;
;24;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R75;1;6%;;C6;0;0%;;;;;;;;;;;;;;;;;;;;;
;25;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R100;1;6%;;;;;;;;;;;;;;;;;;;;;;;;;
;26;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R150;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;
;27;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;TOTAL;18;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;COM SPF;8;44%;;; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;;;;
;30;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;SEM SPF;10;56%;;;;;;;;;;;;;;;;;;;;;;;;;
;31;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;32;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;33;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;34;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;35;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;36;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;37;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;39;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;43;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;44;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;46;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;47;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;48;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;49;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;ATENÇÃO:;SE PRECISAR INSERIR MAIS LINHAS ADICIONE LINHAS DENTRO DESTE RETÂNGULO;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL;;;;;;;R$ 2.907.391,00;R$ 1.648.970,00;R$ 1.258.421,00;R$ 12.493,66;R$ 0,00; R$ 39.648,31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;  TAXA SUB ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Inclui o SPF no valor de Nota (Ex 159 emite a 161) - Explica ao cliente (Para ofertar taxa 0, preciso manter o SPF)- Sob ficha no FANDI no valor correto incluindo o SPF ;;;;;;;;#REF!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;TERRACOTA VITÓRIA DA CONQUISTA - VTC - JULHO;;;;;;;;;;;;;;;;VENDEDOR;R0;R1;R2;R3;R4;R5;R150;R100;R75;R50;SPF;RECEITA;;;;;;;;;;;;;;;
;;CLIENTE;CPF/CNPJ;BANCO;PJ/PF;VENDEDOR;R;SPF;VAL. VEÍCULO;ENTRADA;FINANCIAMENTO;RET. SPF; RET. RENTABILIDADE;RENTAB. TOTAL;MOTIVO;;Severino de Aracaju;0;0;0;0;0;0;0;0;0;0;0;R$ 5.009,88;0;;;;;;;;;;;;;;
;1;Amanda Ribeiro Castro;000.000.019-29;VOLKSWAGEN;CPF;Chicó;R2;COM SPF;R$ 218.200,00;R$ 68.250,00;R$ 149.950,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA ZERO;;João Grilo;0;0;0;0;0;0;0;0;0;0;0;R$ 3.211,92;0;;;;;;;;;;;;;;
;2;Caio Henrique Barbosa;000.000.020-30;SANTANDER;CNPJ;Chicó;R3;SEM SPF;R$ 206.450,00;R$ 69.700,00;R$ 136.750,00;R$ 0,00;R$ 3.099,92;R$ 3.099,92;MOVE BRASIL;;Chicó;0;0;0;0;0;0;0;0;0;0;0;R$ 4.138,56;0;;;;;;;;;;;;;;
;3;Daniela Martins Souza;000.000.021-31;SANTANDER;CNPJ;Rosinha;R50;SEM SPF;R$ 110.800,00;R$ 49.600,00;R$ 61.200,00;R$ 0,00;R$ 330,48;R$ 330,48;TAXA ZERO;;Rosinha;0;0;0;0;0;0;0;0;0;0;0;R$ 5.226,60;0;;;;;;;;;;;;;;
;4;Felipe Augusto Costa;000.000.022-32;SANTANDER;CPF;Padre João;R150;SEM SPF;R$ 143.750,00;R$ 59.700,00;R$ 84.050,00;R$ 0,00;R$ 1.361,61;R$ 1.361,61;MOVE BRASIL;;Padre João;0;0;0;0;0;0;0;0;0;0;0;R$ 4.640,76;0;;;;;;;;;;;;;;
;5;Gabriela Mendes Rocha;000.000.023-33;VOLKSWAGEN;CNPJ;Severino de Aracaju;R2;COM SPF;R$ 170.850,00;R$ 47.350,00;R$ 123.500,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;TOTAL;0;0;0;0;0;0;0;0;0;0;0;R$ 22.227,72;0;;;;;;;;;;;;;;
;6;Henrique Lima Duarte;000.000.024-34;SANTANDER;CPF;Padre João;R4;SEM SPF;R$ 234.000,00;R$ 83.900,00;R$ 150.100,00;R$ 0,00;R$ 3.585,08;R$ 3.585,08;TAXA SUB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;7;Juliana Alves Nascimento;000.000.025-35;VOLKSWAGEN;CPF;João Grilo;R5;SEM SPF;R$ 161.550,00;R$ 57.500,00;R$ 104.050,00;R$ 0,00;R$ 0,00;R$ 0,00;TAXA SUB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;Lucas Gabriel Moura;000.000.026-36;SANTANDER;CNPJ;Severino de Aracaju;R50;COM SPF;R$ 98.500,00;R$ 38.600,00;R$ 59.900,00;R$ 1.438,00;R$ 323,46;R$ 1.761,46;MOVE BRASIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;9;Manuela Ferreira Reis;000.000.027-37;SANTANDER;CPF;Rosinha;R5;SEM SPF;R$ 158.050,00;R$ 56.050,00;R$ 102.000,00;R$ 0,00;R$ 1.731,91;R$ 1.731,91;MOVE BRASIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;10;Pedro Lucas Santana;000.000.028-38;VOLKSWAGEN;CPF;Severino de Aracaju;R2;SEM SPF;R$ 110.100,00;R$ 28.700,00;R$ 81.400,00;R$ 0,00;R$ 0,00;R$ 0,00;MOVE BRASIL;;TERRACOTA-VTC;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;Priscila Araujo Lima;000.000.029-39;SANTANDER;CNPJ;João Grilo;R3;SEM SPF;R$ 96.350,00;R$ 38.400,00;R$ 57.950,00;R$ 0,00;R$ 1.034,83;R$ 1.034,83;TAXA SUB;;R;Qtde; %;;BANCOS;QTDE; %;;;;;;;;;;;;;;;;;;;;;
;12;Vinícius Cardoso Mendes;000.000.030-40;SANTANDER;CPF;João Grilo;R3;SEM SPF;R$ 202.100,00;R$ 52.500,00;R$ 149.600,00;R$ 0,00;R$ 2.598,01;R$ 2.598,01;MOVE BRASIL;;R0;4;33%;;BRADESCO;0;0%;;;;;;;;;;;;;;;;;;;;;
;13;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R1;1;8%;;GM;0;0%;;;;;;;;;;;;;;;;;;;;;
;14;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R2;1;8%;;ITAÚ;0;0%;;;;;;;;;;;;;;;;;;;;;
;15;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R3;4;33%;;SANTANDER;11;92%;;;;;;;;;;;;;;;;;;;;;
;16;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R4;0;0%;;SAFRA;0;0%;;;;;;;;;;;;;;;;;;;;;
;17;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R5;1;8%;;STELLANTIS;0;0%;;;;;;;;;;;;;;;;;;;;;
;18;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R50;0;0%;;VOLKSWAGEN;1;8%;;;;;;;;;;;;;;;;;;;;;
;19;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R75;0;0%;;C6;0;0%;;;;;;;;;;;;;;;;;;;;;
;20;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R100;1;8%;;;;;;;;;;;;;;;;;;;;;;;;;
;21;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;R150;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;
;22;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;TOTAL;12;;;;;;;;;;;;;;;;;;;;;;;;;;
;23;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;24;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;COM SPF;0;0%;;;;;;;;;;;;;;;;;;;;;;;;;
;25;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;SEM SPF;12;100%;;;;;;;;;;;;;;;;;;;;;;;;;
;26;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;27;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;29;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;ATENÇÃO:;SE PRECISAR INSERIR MAIS LINHAS ADICIONE LINHAS DENTRO DESTE RETÂNGULO;;;;;;;;;;;;;;;;;;;;;;;;
;29;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;30;;;;;;;;;;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;TOTAL;;;;;;; R$ 2.139.084,00 ; R$ 1.210.070,00 ; R$ 929.014,00 ;R$ 0,00;R$ 20.155,08; R$ 22.227,72 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;TAXA ZERO;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; TAXA SUB ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;; MOVE BRASIL ;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
